EPOCH,NORAD_CAT_ID,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION_DOT,BSTAR,TLE_LINE1,TLE_LINE2
2022-01-22 14:00:01.000224,50803,15.75462256,0.00011780,53.2169,121.4508,58.3063,148.5162,-0.00694009,-0.00485850000000,1 50803U 22001A   22022.58334491 -.00694009  00000-0 -48585-2 0  9998,2 50803  53.2169 121.4508 0001178  58.3063 148.5162 15.75462256  3033
2022-01-22 22:00:00.999936,50803,15.74971670,0.00010880,53.2175,119.7955,71.2541,226.9208,-0.00821271,-0.00596530000000,1 50803U 22001A   22022.91667824 -.00821271  00000-0 -59653-2 0  9995,2 50803  53.2175 119.7955 0001088  71.2541 226.9208 15.74971670  3082
2022-01-23 06:00:00.999648,50803,15.74384078,0.00012540,53.2177,118.1413,46.3582,342.5141,-0.00817668,-0.00609090000000,1 50803U 22001A   22023.25001157 -.00817668  00000-0 -60909-2 0  9995,2 50803  53.2177 118.1413 0001254  46.3582 342.5141 15.74384078  3888
2022-01-23 14:00:01.000224,50803,15.73732051,0.00015340,53.2175,116.4918,37.1633,81.7131,-0.00657064,-0.00493870000000,1 50803U 22001A   22023.58334491 -.00657064  00000-0 -49387-2 0  9990,2 50803  53.2175 116.4918 0001534  37.1633  81.7131 15.73732051  3195
2022-01-23 20:00:01.000224,50803,15.73232714,0.00011340,53.2171,115.2533,57.9706,37.9378,-0.00047342,-0.00033433000000,1 50803U 22001A   22023.83334491 -.00047342  00000-0 -33433-3 0  9996,2 50803  53.2171 115.2533 0001134  57.9706  37.9378 15.73232714  3971
2022-01-23 22:00:00.999936,50803,15.73207605,0.00012550,53.2173,114.8403,60.5105,147.6439,-0.00007658,-0.00005018000000,1 50803U 22001A   22023.91667824 -.00007658  00000-0 -50180-4 0  9999,2 50803  53.2173 114.8403 0001255  60.5105 147.6439 15.73207605  3250
2022-01-24 12:00:00.999648,50803,15.73217232,0.00014640,53.2146,111.9528,40.9548,233.0507,-0.00024395,-0.00016977000000,1 50803U 22001A   22024.50001157 -.00024395  00000-0 -16977-3 0  9998,2 50803  53.2146 111.9528 0001464  40.9548 233.0507 15.73217232  4075
2022-01-24 14:00:01.000224,50803,15.73185590,0.00015130,53.2149,111.5408,40.9904,345.2592,0.00042580,0.00030645000000,1 50803U 22001A   22024.58334491  .00042580  00000-0  30645-3 0  9998,2 50803  53.2149 111.5408 0001513  40.9904 345.2592 15.73185590  3364
2022-01-24 22:00:00.999936,50803,15.73247924,0.00015310,53.2148,109.8900,43.1440,72.0057,-0.00107427,-0.00076920000000,1 50803U 22001A   22024.91667824 -.00107427  00000-0 -76920-3 0  9994,2 50803  53.2148 109.8900 0001531  43.1440  72.0057 15.73247924  3417
2022-01-24 22:00:00.999936,50803,15.73247924,0.00015310,53.2148,109.8900,43.1440,72.0057,-0.00107427,-0.00076920000000,1 50803U 22001A   22024.91667824 -.00107427  00000-0 -76920-3 0  9994,2 50803  53.2148 109.8900 0001531  43.1440  72.0057 15.73247924  4148
2022-01-27 14:00:01.000224,50803,15.73123700,0.00019680,53.2148,96.6950,41.7472,64.8975,0.00069035,0.00049385000000,1 50803U 22001A   22027.58334491  .00069035  00000-0  49385-3 0  9996,2 50803  53.2148  96.6950 0001968  41.7472  64.8975 15.73123700  3736
2022-01-27 19:38:52.517760,50803,15.73187846,0.00014640,53.2145,95.5274,53.2498,306.8656,-0.00016473,-0.00011324000000,1 50803U 22001A   22027.81866340 -.00016473  00000-0 -11324-3 0  9997,2 50803  53.2145  95.5274 0001464  53.2498 306.8656 15.73187846  3339
2022-01-27 19:38:52.517760,50803,15.73187846,0.00014640,53.2145,95.5274,53.2498,306.8656,-0.00016473,-0.00011324000000,1 50803U 22001A   22027.81866340 -.00016473  00000-0 -11324-3 0  9997,2 50803  53.2145  95.5274 0001464  53.2498 306.8656 15.73187846  4598
2022-01-28 10:00:00.999936,50803,15.73213281,0.00019700,53.2149,92.5708,44.7327,104.1415,0.00011051,0.00008300900000,1 50803U 22001A   22028.41667824  .00011051  00000-0  83009-4 0  9995,2 50803  53.2149  92.5708 0001970  44.7327 104.1415 15.73213281  4695
2022-01-28 14:00:01.000224,50803,15.73195478,0.00020340,53.2152,91.7468,42.4409,330.9114,0.00076091,0.00054175000000,1 50803U 22001A   22028.58334491  .00076091  00000-0  54175-3 0  9990,2 50803  53.2152  91.7468 0002034  42.4409 330.9114 15.73195478  3737
2022-01-28 22:00:00.999936,50803,15.73260403,0.00018000,53.2153,90.0954,41.5131,60.7966,-0.00074572,-0.00053021000000,1 50803U 22001A   22028.91667824 -.00074572  00000-0 -53021-3 0  9999,2 50803  53.2153  90.0954 0001800  41.5131  60.7966 15.73260403  3703
2022-01-29 14:00:01.000224,50803,15.73175986,0.00019690,53.2149,86.7982,34.1337,246.1210,0.00052426,0.00037600000000,1 50803U 22001A   22029.58334491  .00052426  00000-0  37600-3 0  9991,2 50803  53.2149  86.7982 0001969  34.1337 246.1210 15.73175986  4875
