name,norad_id,tle_line1,tle_line2,epoch,category
STARLINK-32584,62179,1 62179U 24225S   25344.28554453  .00006937  00000+0  58839-3 0  9994,2 62179  70.0017  29.7889 0003061 272.2858  87.7951 14.98342678 56481,2025-12-10 06:51:11.047392,starlink
STARLINK-32587,62180,1 62180U 24225T   25344.27300497  .00015108  00000+0  12699-2 0  9995,2 62180  70.0018  29.7240 0003204 270.7006  89.3786 14.98369760 56487,2025-12-10 06:33:07.629408,starlink
STARLINK-32602,62181,1 62181U 24225U   25344.29154340  .00012950  00000+0  10911-2 0  9999,2 62181  70.0025  19.8743 0003105 271.2697  88.8106 14.98330911 56730,2025-12-10 06:59:49.349760,starlink
STARLINK-32565,62182,1 62182U 24225V   25344.25632799  .00003884  00000+0  33303-3 0  9992,2 62182  70.0022  29.7575 0003004 265.6047  94.4769 14.98336105 56486,2025-12-10 06:09:06.738336,starlink
STARLINK-32589,62183,1 62183U 24225W   25344.25619018  .00001083  00000+0  98539-4 0  9994,2 62183  70.0022  30.1550 0002956 269.6732  90.4088 14.98335492 56473,2025-12-10 06:08:54.831552,starlink
STARLINK-32581,62184,1 62184U 24225X   25344.27483011  .00003115  00000+0  26872-3 0  9997,2 62184  70.0024  19.8094 0003093 270.9744  89.1060 14.98336358 56730,2025-12-10 06:35:45.321504,starlink
2024-226A,62185,1 62185U 24226A   25344.30265819 -.00000062  00000+0  95375-4 0  9991,2 62185  50.0058 259.1987 0056224 278.4091  81.0424 13.60140248 51007,2025-12-10 07:15:49.667616,other
2024-226B,62186,1 62186U 24226B   25344.28044272 -.00000041  00000+0  15610-3 0  9997,2 62186  50.0049 300.8977 0011709 224.7061 135.2873 13.41484746 50351,2025-12-10 06:43:50.251008,other
TJS-13,62188,1 62188U 24227A   25329.02865727  .00000541  00000+0  00000+0 0  9998,2 62188  63.6309  63.4512 6970002 269.4650  17.4176  2.00584685  7158,2025-11-25 00:41:15.988128,other
HAISHAO-1,62190,1 62190U 24228A   25344.31047122  .00047591  00000+0  47073-3 0  9993,2 62190  42.9860  54.7425 0002321 350.1788   9.9032 15.65090187 57980,2025-12-10 07:27:04.713408,other
STARLINK-32686,62192,1 62192U 24229A   25344.24303784  .00047358  00000+0  17184-2 0  9997,2 62192  43.0053  52.2406 0001736 268.8697  91.1956 15.27599044 56928,2025-12-10 05:49:58.469376,starlink
STARLINK-32688,62193,1 62193U 24229B   25344.19515431  .00034240  00000+0  12466-2 0  9990,2 62193  43.0049  56.1943 0002725 267.5369  92.5170 15.27616807 56878,2025-12-10 04:41:01.332384,starlink
STARLINK-32684,62194,1 62194U 24229C   25344.23484397  .00035673  00000+0  12987-2 0  9991,2 62194  42.9970  55.6366 0000187 274.0373  86.0457 15.27602835 58066,2025-12-10 05:38:10.519008,starlink
STARLINK-32672,62195,1 62195U 24229D   25344.24897400  .00029661  00000+0  10822-2 0  9992,2 62195  43.0064  55.7399 0001250 261.3212  98.7498 15.27607827 56882,2025-12-10 05:58:31.353600,starlink
STARLINK-32682,62196,1 62196U 24229E   25344.23641153  .00038473  00000+0  13990-2 0  9994,2 62196  43.0035  23.2260 0001186 256.3615 103.7104 15.27612670 57252,2025-12-10 05:40:25.956192,starlink
STARLINK-32663,62197,1 62197U 24229F   25344.21699854  .00043088  00000+0  15651-2 0  9998,2 62197  42.9984  56.3524 0000273 251.9804 108.1018 15.27604032 56874,2025-12-10 05:12:28.673856,starlink
STARLINK-32640,62198,1 62198U 24229G   25344.24126706  .00053299  00000+0  19305-2 0  9998,2 62198  43.0010  55.6851 0001970 286.3023  73.7612 15.27613208 56885,2025-12-10 05:47:25.473984,starlink
STARLINK-32653,62199,1 62199U 24229H   25344.19739820  .00040013  00000+0  14547-2 0  9993,2 62199  42.9967  49.2394 0001427 241.4998 118.5710 15.27603310 56954,2025-12-10 04:44:15.204480,starlink
STARLINK-32647,62200,1 62200U 24229J   25344.26311136  .00040566  00000+0  14733-2 0  9990,2 62200  43.0044  55.8412 0002118 277.5840  82.4771 15.27630514 56887,2025-12-10 06:18:52.821504,starlink
STARLINK-32667,62201,1 62201U 24229K   25344.22713254  .00042105  00000+0  15300-2 0  9996,2 62201  42.9972  55.5753 0000211 125.7391 234.3481 15.27599382 56881,2025-12-10 05:27:04.251456,starlink
STARLINK-32655,62202,1 62202U 24229L   25344.20928969  .00047707  00000+0  17313-2 0  9995,2 62202  42.9995  56.2945 0001113 252.6087 107.4643 15.27593204 56878,2025-12-10 05:01:22.629216,starlink
STARLINK-32665,62203,1 62203U 24229M   25344.25668653  .00035355  00000+0  12873-2 0  9994,2 62203  43.0008  55.7920 0001374 273.7830  86.2865 15.27602746 56885,2025-12-10 06:09:37.716192,starlink
STARLINK-32664,62204,1 62204U 24229N   25344.20157657  .00033396  00000+0  12161-2 0  9990,2 62204  43.0056  56.2407 0003292 275.2668  84.7808 15.27616844 56875,2025-12-10 04:50:16.215648,starlink
STARLINK-32660,62205,1 62205U 24229P   25344.23163365  .00054833  00000+0  19845-2 0  9992,2 62205  43.0017  41.7342 0002740 282.9653  77.0893 15.27625767 57049,2025-12-10 05:33:33.147360,starlink
STARLINK-32448,62206,1 62206U 24229Q   25344.23098644  .00036341  00000+0  13227-2 0  9992,2 62206  42.9967  55.6033 0000376 242.0639 118.0175 15.27603446 56887,2025-12-10 05:32:37.228416,starlink
STARLINK-32430,62207,1 62207U 24229R   25344.20334825  .00034020  00000+0  12388-2 0  9993,2 62207  43.0014  52.8008 0001014 277.4380  82.6356 15.27612981 56914,2025-12-10 04:52:49.288800,starlink
STARLINK-32675,62208,1 62208U 24229S   25344.25283429  .00084703  00000+0  30465-2 0  9991,2 62208  43.0015  55.7639 0005104 297.9063  62.1271 15.27635263 56880,2025-12-10 06:04:04.882656,starlink
STARLINK-32671,62209,1 62209U 24229T   25344.22342262  .00041832  00000+0  15199-2 0  9993,2 62209  42.9957  56.3955 0000596 247.0959 112.9830 15.27604550 56871,2025-12-10 05:21:43.714368,starlink
STARLINK-32670,62210,1 62210U 24229U   25344.24512302  .00046113  00000+0  16722-2 0  9991,2 62210  43.0062  55.7109 0002284 270.0969  89.9621 15.27629789 56882,2025-12-10 05:52:58.628928,starlink
STARLINK-32642,62211,1 62211U 24229V   25344.23870801  .00049693  00000+0  18026-2 0  9997,2 62211  42.9951  55.6635 0000155 331.1592  28.9251 15.27591415 56883,2025-12-10 05:43:44.372064,starlink
STARLINK-32668,62212,1 62212U 24229W   25344.20720581  .00036107  00000+0  13144-2 0  9996,2 62212  42.9972  52.8274 0000518 280.8411  79.2382 15.27600829 56916,2025-12-10 04:58:22.581984,starlink
STARLINK-32669,62213,1 62213U 24229X   25344.21314638  .00051630  00000+0  18706-2 0  9997,2 62213  42.9989  56.3197 0001010 266.4034  93.6702 15.27615439 56871,2025-12-10 05:06:55.847232,starlink
STARLINK-32666,62214,1 62214U 24229Y   25344.21957103  .00040330  00000+0  14657-2 0  9994,2 62214  42.9953  56.3692 0000789 312.2774  47.8010 15.27610918 56876,2025-12-10 05:16:10.936992,starlink
STARLINK-32662,62215,1 62215U 24229Z   25344.20544840  .00046823  00000+0  16979-2 0  9996,2 62215  43.0022  56.2662 0000281 195.9043 164.1800 15.27626716 56877,2025-12-10 04:55:50.741760,starlink
STARLINK-11394 [DTC],62218,1 62218U 24231A   25344.18523976  .00170578  00000+0  13797-2 0  9996,2 62218  53.1575 182.5049 0000863  94.7340 265.3776 15.69785831 59351,2025-12-10 04:26:44.715264,starlink
STARLINK-11490 [DTC],62219,1 62219U 24231B   25344.06279700  .00226330  00000+0  18165-2 0  9999,2 62219  53.1578 183.1635 0001050  99.7083 260.4054 15.69788966 59336,2025-12-10 01:30:25.660800,starlink
STARLINK-11466 [DTC],62220,1 62220U 24231C   25344.26362451  .00115150  00000+0  93936-3 0  9996,2 62220  53.1587 182.2869 0000798  88.7815 271.3295 15.69782407 59361,2025-12-10 06:19:37.157664,starlink
STARLINK-11468 [DTC],62221,1 62221U 24231D   25344.27343814  .00194848  00000+0  15709-2 0  9992,2 62221  53.1577 182.3522 0001108  54.8880 305.2242 15.69782542 59369,2025-12-10 06:33:45.055296,starlink
STARLINK-11488 [DTC],62222,1 62222U 24231E   25344.25871985  .00232554  00000+0  18663-2 0  9995,2 62222  53.1571 182.2537 0001061  90.0289 270.0850 15.69772047 59365,2025-12-10 06:12:33.395040,starlink
STARLINK-11483 [DTC],62223,1 62223U 24231F   25344.16070975  .00147452  00000+0  11965-2 0  9996,2 62223  53.1577 182.3408 0000533 153.3800 206.7246 15.69789172 59356,2025-12-10 03:51:25.322400,starlink
STARLINK-11492 [DTC],62224,1 62224U 24231G   25343.95020393  .00257000  00000+0  20527-2 0  9997,2 62224  53.1572 183.9000 0000609  72.8217 287.2868 15.69808483 59315,2025-12-09 22:48:17.619552,starlink
STARLINK-11471 [DTC],62225,1 62225U 24231H   25343.59259829  .00343219  00000+0  27115-2 0  9994,2 62225  53.1572 185.2097 0001289 111.2608 248.8548 15.69805030 59261,2025-12-09 14:13:20.492256,starlink
STARLINK-11475 [DTC],62226,1 62226U 24231J   25343.97951663  .00223843  00000+0  17981-2 0  9992,2 62226  53.1575 183.3463 0001298  79.3930 280.7234 15.69776937 59320,2025-12-09 23:30:30.236832,starlink
STARLINK-11469 [DTC],62227,1 62227U 24231K   25344.11667056  .00249488  00000+0  19914-2 0  9991,2 62227  53.1584 182.7820 0001658  27.0523 333.0581 15.69848107 59347,2025-12-10 02:48:00.336384,starlink
STARLINK-11476 [DTC],62228,1 62228U 24231L   25343.96479789  .00210271  00000+0  16918-2 0  9997,2 62228  53.1571 183.2472 0000949  96.7602 263.3524 15.69782096 59331,2025-12-09 23:09:18.537696,starlink
